Campaign Name,Cost,Cost (Comparison),Clicks,Clicks (Comparison),Interactions,Interactions (Comparison)
PMAX | Shopping | VIC |  Non-Brand | Supreme,"$1,362.88",$222.74,403,94,"112,398","22,082"
Search | Non-Brand | VIC | Supreme,$330.02,$0.00,180,0,180,0
Search | AD Brand | VIC | Supreme,$369.62,$129.57,104,105,104,105
